2.9098;-16.7847;-2.1679
2.9089;-16.7849;-2.1674
2.9051;-16.7873;-2.1646
2.9033;-16.7885;-2.1639
2.9007;-16.7896;-2.1636
2.8983;-16.7912;-2.1630
2.8955;-16.7922;-2.1628
2.8947;-16.7932;-2.1618
2.8929;-16.7945;-2.1612
2.8903;-16.7970;-2.1603
2.8900;-16.7979;-2.1592
2.8885;-16.7994;-2.1584
2.8864;-16.8012;-2.1586
2.8861;-16.8016;-2.1583
2.8849;-16.8035;-2.1573
2.8834;-16.8041;-2.1570
2.8824;-16.8045;-2.1569
2.8794;-16.8066;-2.1559
2.8774;-16.8075;-2.1555
2.8752;-16.8083;-2.1553
2.8741;-16.8103;-2.1541
2.8735;-16.8107;-2.1542
2.8704;-16.8124;-2.1546
2.8701;-16.8139;-2.1531
2.8686;-16.8148;-2.1534
2.8676;-16.8155;-2.1532
2.8672;-16.8171;-2.1519
2.8660;-16.8185;-2.1509
2.8655;-16.8196;-2.1494
2.8642;-16.8197;-2.1490
2.8612;-16.8211;-2.1490
2.8584;-16.8233;-2.1486
2.8576;-16.8237;-2.1488
2.8567;-16.8258;-2.1483
2.8552;-16.8279;-2.1476
2.8549;-16.8288;-2.1468
2.8540;-16.8304;-2.1460
2.8533;-16.8317;-2.1452
2.8526;-16.8322;-2.1450
2.8511;-16.8344;-2.1441
2.8502;-16.8350;-2.1435
2.8490;-16.8359;-2.1434
2.8482;-16.8358;-2.1435
2.8467;-16.8375;-2.1429
2.8459;-16.8374;-2.1433
2.8447;-16.8394;-2.1420
2.8449;-16.8401;-2.1409
2.8425;-16.8424;-2.1403
2.8410;-16.8440;-2.1395
2.8391;-16.8447;-2.1400
2.8393;-16.8452;-2.1391
2.8381;-16.8461;-2.1387
2.8365;-16.8463;-2.1389
2.8358;-16.8457;-2.1397
2.8352;-16.8465;-2.1389
2.8343;-16.8480;-2.1383
2.8336;-16.8491;-2.1375
2.8336;-16.8498;-2.1366
2.8327;-16.8506;-2.1363
2.8307;-16.8527;-2.1358
2.8298;-16.8538;-2.1354
2.8293;-16.8547;-2.1351
2.8292;-16.8549;-2.1351
2.8275;-16.8552;-2.1355
2.8274;-16.8567;-2.1339
2.8267;-16.8569;-2.1339
2.8261;-16.8580;-2.1336
2.8249;-16.8600;-2.1330
2.8239;-16.8611;-2.1325
2.8222;-16.8618;-2.1328
2.8215;-16.8637;-2.1315
2.8204;-16.8644;-2.1314
2.8201;-16.8645;-2.1317
2.8199;-16.8645;-2.1314
2.8198;-16.8663;-2.1302
2.8189;-16.8669;-2.1304
2.8187;-16.8671;-2.1302
2.8173;-16.8675;-2.1305
2.8165;-16.8693;-2.1298
2.8158;-16.8711;-2.1288
2.8162;-16.8713;-2.1282
2.8149;-16.8730;-2.1281
2.8136;-16.8741;-2.1278
2.8127;-16.8763;-2.1267
2.8118;-16.8762;-2.1277
2.8111;-16.8773;-2.1270
2.8106;-16.8782;-2.1268
2.8102;-16.8779;-2.1273
2.8103;-16.8793;-2.1259
2.8096;-16.8801;-2.1255
2.8087;-16.8810;-2.1257
2.8080;-16.8825;-2.1248
2.8070;-16.8834;-2.1249
2.8050;-16.8846;-2.1252
2.8052;-16.8855;-2.1243
2.8048;-16.8862;-2.1241
2.8039;-16.8875;-2.1239
2.8038;-16.8875;-2.1238
2.8033;-16.8882;-2.1237
2.8035;-16.8891;-2.1227
2.8027;-16.8894;-2.1229
2.8001;-16.8918;-2.1229
2.7994;-16.8931;-2.1227
2.7990;-16.8934;-2.1223
2.8000;-16.8940;-2.1216
2.7992;-16.8948;-2.1216
2.7983;-16.8952;-2.1218
2.7975;-16.8964;-2.1211
2.7974;-16.8970;-2.1210
2.7968;-16.8974;-2.1210
2.7958;-16.8988;-2.1206
2.7955;-16.8992;-2.1205
2.7949;-16.9006;-2.1197
2.7937;-16.9030;-2.1187
2.7933;-16.9033;-2.1188
2.7923;-16.9037;-2.1190
2.7917;-16.9046;-2.1189
2.7914;-16.9047;-2.1190
2.7916;-16.9046;-2.1191
2.7902;-16.9052;-2.1193
2.7904;-16.9059;-2.1187
2.7898;-16.9069;-2.1181
2.7895;-16.9079;-2.1175
2.7876;-16.9094;-2.1175
2.7874;-16.9107;-2.1166
2.7878;-16.9118;-2.1160
2.7872;-16.9118;-2.1162
2.7866;-16.9128;-2.1156
2.7858;-16.9138;-2.1155
2.7845;-16.9143;-2.1159
2.7835;-16.9147;-2.1158
2.7822;-16.9158;-2.1159
2.7819;-16.9164;-2.1162
2.7776;-16.9250;-2.1068
2.8202;-16.7734;-1.5300
2.5036;-16.3780;-1.0539
1.9436;-15.6079;-0.0657
0.6148;-13.8417;1.5221
-0.8518;-10.9398;3.1457
-1.9034;-7.0858;4.6649
-3.5175;-4.0665;5.2743
-4.8636;1.0575;5.1528
-5.5407;5.9777;6.7660
-6.0532;12.2893;5.9617
-5.9412;21.5733;4.8771
-7.1385;24.9130;-0.3718
-6.7400;25.2796;-6.0012
-8.4732;25.2252;-12.0593
-8.7343;25.8042;-16.8913
-9.2260;25.5001;-21.3699
-11.9581;23.6208;-26.5646
-14.9543;22.5831;-29.5668
-17.7952;22.7510;-31.0829
-20.2469;23.9921;-31.4097
-21.0404;26.1236;-31.8262
-20.7220;29.3136;-31.8818
-19.8929;33.1844;-31.4219
-18.1075;37.7413;-30.7485
-18.0019;40.3176;-29.8058
-19.3948;41.6947;-28.3242
-20.1066;42.5534;-26.8314
-21.2880;42.9777;-25.2953
-22.2739;42.8136;-23.8677
-22.2739;42.8136;-23.8677
